title,time,genre,rating,description,votes,directors,stars,year,gross
#Home,158,Drama,8.9,Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons who spend more time on their phones than with their loved ones.,12361,['Rojin Thomas'],"['Indrans', 'Sreenath Bhasi', 'Manju Pillai', 'Naslen']",2021,
#Saraitda,98,Action,6.3,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",37072,['Il Cho'],"['Yoo Ah-in', 'Park Shin-Hye', 'Jeon Bae-soo', 'Hyun-Wook Lee']",2020,
'71,99,Action,7.2,"In 1971, a young and disoriented British soldier is accidentally abandoned by his unit following a riot on the deadly streets of Belfast.",55642,['Yann Demange'],"[""Jack O'Connell"", 'Sam Reid', 'Sean Harris', 'Paul Popplewell']",2014,1270000.0
'A' gai wak,105,Action,7.3,"Fighting against pirates at the turn of the 20th century, the Hong Kong navy are failing miserably. It's up to Sergeant Lung (Jackie Chan) to take matters into his own hands.",16657,"['Jackie Chan', 'Jackie Chan']","['Sammo Kam-Bo Hung', 'Jackie Chan', 'Sammo Kam-Bo Hung', 'Biao Yuen', 'Dick Wei']",1983,
'A' gai wak 2,106,Action,7.0,"Dragon is now transferred to be the police head of Sai Wan district, and has to contend with a gangster kingpin, anti-Manchu revolutionaries, some runaway pirates, Manchu Loyalists and a corrupt Police Superintendent.",10180,['Jackie Chan'],"['Jackie Chan', 'Maggie Cheung', 'Rosamund Kwan', 'Carina Lau']",1987,
'Breaker' Morant,107,Drama,7.8,Three Australian lieutenants are court martialed for executing prisoners as a way of deflecting attention from war crimes committed by their superior officers.,13395,['Bruce Beresford'],"['Edward Woodward', 'Jack Thompson', 'John Waters', 'Bryan Brown']",1980,7140000.0
(500) Days of Summer,95,Comedy,7.7,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",502301,['Marc Webb'],"['Zooey Deschanel', 'Joseph Gordon-Levitt', 'Geoffrey Arend', 'Chloë Grace Moretz']",2009,32390000.0
(T)Raumschiff Surprise - Periode 1,87,Comedy,5.4,"Three hundred years in the future, Mars is colonized by humans and their leader Regulator Rogul plans to conquer Earth. Queen Königin Metapha is advised to send the gays Captain Kork, the ...                See full summary »",15578,['Michael Herbig'],"['Michael Herbig', 'Rick Kavanian', 'Christian Tramitz', 'Anja Kling']",2004,
*batteries not included,106,Comedy,6.6,Aliens help a feisty old New York couple in their battle against the ruthless land developer who's out to evict them.,35247,['Matthew Robbins'],"['Hume Cronyn', 'Jessica Tandy', 'Frank McRae', 'Elizabeth Peña']",1987,32950000.0
...E tu vivrai nel terrore! L'aldilà,87,Horror,6.6,"A young woman inherits an old hotel in Louisiana where, following a series of supernatural ""accidents"", she learns that the building was built over one of the entrances to Hell.",22413,['Lucio Fulci'],"['Catriona MacColl', 'David Warbeck', 'Cinzia Monreale', 'Antoine Saint-John']",1981,120000.0
"Watch Out, We're Mad",102,Action,7.3,"After a tied first place in a local stunt race, two drivers start a contest to decide which of them will own the prize, a dune buggy. But when a mobster destroys the car, they are determined to get it back.",12257,['Marcello Fondato'],"['Terence Hill', 'Bud Spencer', 'Patty Shepard', 'Deogratias Huerta']",1974,
...and justice for all.,119,Crime,7.4,"A lawyer is forced to defend a guilty judge, while defending other innocent clients, and trying to find punishment for the guilty and provide justice for the innocent.",34094,['Norman Jewison'],"['Al Pacino', 'Jack Warden', 'John Forsythe', 'Lee Strasberg']",1979,
1 - Nenokkadine,170,Action,8.0,A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,44989,['Sukumar'],"['Mahesh Babu', 'Kriti Sanon', 'Nassar', 'Pradeep Singh Rawat']",2014,
10,122,Comedy,6.1,"A Hollywood composer goes through a mid-life crisis and becomes infatuated with a sexy, newly married woman.",17738,['Blake Edwards'],"['Dudley Moore', 'Bo Derek', 'Julie Andrews', 'Robert Webber']",1979,74870000.0
10 Cloverfield Lane,103,Action,7.2,A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.,316020,['Dan Trachtenberg'],"['John Goodman', 'Mary Elizabeth Winstead', 'John Gallagher Jr.', 'Douglas M. Griffin']",2016,72080000.0
10 Items or Less,82,Comedy,6.6,"An actor prepping for an upcoming role meets a quirky grocery clerk, and together they hit the road to show each other their respective worlds.",15267,['Brad Silberling'],"['Morgan Freeman', 'Paz Vega', 'Jonah Hill', 'Anne Dudek']",2006,80000.0
10 Things I Hate About You,97,Comedy,7.3,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.",329014,['Gil Junger'],"['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt', 'Larisa Oleynik']",1999,38180000.0
10 Years,110,Comedy,6.1,"The night of their high school reunion, a group of friends realize they still haven't quite grown up in some ways.",25559,['Jamie Linden'],"['Channing Tatum', 'Rosario Dawson', 'Chris Pratt', 'Jenna Dewan']",2011,200000.0
"10,000 BC",109,Action,5.1,"In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.",130139,['Roland Emmerich'],"['Camilla Belle', 'Steven Strait', 'Marco Khan', 'Cliff Curtis']",2008,94780000.0
100 Feet,96,Horror,5.4,"After Marnie Watson kills her abusive husband in self-defense, she is condemned to house arrest... only to discover that the house is possessed by the enraged and violent spirit of her dead husband.",12573,['Eric Red'],"['Famke Janssen', 'Bobby Cannavale', 'Ed Westwick', 'Michael Paré']",2008,
100 Girls,94,Comedy,5.8,"Matt spends the night with a girl in an elevator during power outage in a girls' college dorm. He never sees her. Waking up in the morning, panties are all that's left of her. How does he find her in a building with 100 girls?",22826,['Michael Davis'],"['Jonathan Tucker', 'Emmanuelle Chriqui', 'James DeBello', 'Katherine Heigl']",2000,
101 Dalmatians,103,Adventure,5.7,"An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",110066,['Stephen Herek'],"['Glenn Close', 'Jeff Daniels', 'Joely Richardson', 'Joan Plowright']",1996,136190000.0
102 Dalmatians,100,Adventure,4.8,Cruella DeVil gets out of prison and goes after the puppies once more.,37215,['Kevin Lima'],"['Glenn Close', 'Gérard Depardieu', 'Ioan Gruffudd', 'Alice Evans']",2000,66959999.0
11-11-11,90,Horror,3.9,"After the death of his wife and child, an author travels to Barcelona to see his estranged brother and dying father, where he learns that his life is plagued by events that occur on 11/11/11.",12346,['Darren Lynn Bousman'],"['Timothy Gibbs', 'Michael Landes', 'Brendan Price', 'Wendy Glenn']",2011,
11:14,86,Comedy,7.1,"The events leading up to an 11:14 p.m. car crash, from five very different perspectives.",47470,['Greg Marcks'],"['Henry Thomas', 'Colin Hanks', 'Ben Foster', 'Patrick Swayze']",2003,
12,159,Crime,7.6,Twelve jurors must decide the fate of a Chechen adolescent charged with murdering his stepfather.,14620,['Nikita Mikhalkov'],"['Sergey Makovetskiy', 'Sergey Garmash', 'Apti Magamaev', 'Nikita Mikhalkov']",2007,130000.0
